Time(us),Reading
18671098,47.45
18682097,68.14
18693099,45.54
18704097,6.61
18716098,10.26
18727097,40.33
18738098,42.24
18749097,19.47
18760098,27.46
18771097,47.80
18783098,58.23
18794097,61.71
18805099,44.15
18816097,38.59
18827099,42.07
18838097,20.16
18850098,34.77
18861097,45.89
18872098,30.25
18883097,4.17
18894098,-15.82
18905097,-21.38
18917099,19.99
18928097,3.65
18939099,-22.60
18950097,-22.60
18961098,-4.35
18972097,-30.42
18984098,-23.81
18995097,-3.48
19006098,-15.12
19017097,-51.80
19028099,-44.50
19039097,-14.78
19051098,1.22
19062097,11.99
19073098,14.08
19084097,19.47
19095098,41.89
19106097,46.59
19118098,51.97
19129097,42.07
19140099,42.59
19151097,33.72
19162098,18.60
19173097,39.46
19185099,44.85
19196097,37.20
19207099,43.80
19218097,63.27
19229098,70.92
19240097,69.18
19252098,41.89
19263097,56.84
19274098,74.57
19285097,79.09
19296099,90.04
19307097,70.23
19319099,60.49
19330097,67.27
19341098,93.87
19352097,87.43
19363098,82.57
19374097,101.69
19386099,107.42
19397097,49.19
19408098,42.94
19419097,48.67
19430098,38.94
19441097,51.80
19453099,51.11
19464097,26.60
